scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,51.53943634,50.45873642,1,70.98592377,68.85451508,1,54.90143204,67.44102478,1,71.60611725,52.70069885,1
1,51.67670059,50.45873642,1,71.2097168,68.90233612,1,55.03382492,67.86021423,1,71.60611725,52.70069885,1
2,51.69364929,50.50824738,1,71.64077759,68.90233612,1,55.04681396,67.92638397,1,71.69661713,52.82640076,1
3,52.29470444,50.54414368,1,71.65976715,68.92581177,1,55.85915756,68.09050751,1,71.69661713,52.82640076,1
4,52.34011841,50.96129227,1,71.95032501,68.90233612,1,56.18857956,68.30139923,1,71.69661713,52.8697052,1
5,53.07665253,51.17276764,1,71.95661926,68.78992462,1,56.32976532,68.33029938,1,71.8370285,52.8697052,1
6,53.22066879,53.49829865,1,71.95661926,68.2897644,1,56.40909576,68.33029938,1,71.97827911,52.8697052,1
7,53.24484253,53.97468567,1,71.97936249,68.2897644,1,56.40909576,68.33029938,1,71.98664093,52.62130737,1
8,53.67869949,53.98976898,1,71.97936249,68.2897644,1,56.53655243,68.50754547,1,71.98664093,52.62130737,1
9,53.67869949,53.97468567,1,72.29859924,68.4289856,1,56.40909576,68.50754547,1,71.97827911,52.51141739,1
10,53.67869949,53.58235931,1,72.29859924,68.74486542,1,56.40909576,68.53463745,1,71.97827911,52.51141739,1
11,53.36128616,53.58235931,1,72.29859924,68.83690643,1,56.27297974,68.53463745,1,71.90901947,52.51141739,1
12,53.24803543,53.40129852,1,72.126297,68.88119507,1,56.27297974,68.55052948,1,71.80117798,52.51141739,1
13,53.19136047,53.38552094,1,72.10803223,68.91156769,1,56.2133255,68.53463745,1,71.80117798,52.51141739,1
14,52.75803375,50.85416794,1,72.05835724,68.98942566,1,56.03712463,68.41156006,1,71.80117798,52.65906525,1
15,52.75803375,50.85416794,1,72.10803223,68.98942566,1,55.89889145,68.22901917,1,71.92029572,52.65906525,1
16,52.75803375,50.85416794,1,72.10803223,68.98942566,1,55.89889145,68.22901917,1,72.06912994,52.75302505,1
17,52.93702698,50.85416794,1,72.00574493,68.98942566,1,55.70491791,68.22901917,1,72.08439636,52.75302505,1
18,53.12056732,53.3074913,1,72.00574493,68.98942566,1,55.70491791,68.33721161,1,72.26875305,52.75302505,1
19,53.12056732,53.3074913,1,71.87332916,68.96850586,1,55.55633545,68.33721161,1,72.37535095,52.75302505,1
20,52.93702698,50.73691177,1,71.86955261,68.96850586,1,55.51527023,68.33721161,1,72.37535095,52.75302505,1
21,52.62582397,50.2820015,1,71.78139496,69.29727173,1,55.38115692,68.33721161,1,72.37535095,52.67565918,1
22,52.25109863,50.2820015,1,71.68847656,69.29727173,1,55.24630356,68.33721161,1,72.31288147,52.67565918,1
23,52.18979645,50.2820015,1,71.58721924,69.29727173,1,54.82514572,68.62618256,1,72.2504425,52.67565918,1
24,51.90508652,50.2820015,1,71.58721924,69.49729919,1,54.82514572,68.65021515,1,72.1002655,52.67565918,1
25,51.9004364,50.2820015,1,71.58721924,69.59338379,1,54.4626236,68.65248871,1,72.1002655,52.67565918,1
26,51.9004364,50.19792557,1,71.65631866,69.59338379,1,54.4626236,68.7559967,1,72.1002655,52.51874161,1
27,51.90508652,50.19792557,1,71.86922455,69.59338379,1,54.80012512,68.89622498,1,72.22433472,52.46123123,1
28,51.90508652,50.13264084,1,71.90348816,69.59338379,1,54.83834457,68.93305969,1,72.27423859,52.3860817,1
29,51.91212845,50.19792557,1,71.91201019,69.59338379,1,54.80012512,68.93305969,1,72.28437042,52.30869675,1
30,51.95778275,50.25476456,1,72.04356384,69.66042328,1,54.86693573,68.95471191,1,72.33694458,52.30869675,1
31,52.55353165,50.25476456,1,72.04356384,69.68988037,1,54.94135666,68.95471191,1,72.33694458,51.99465179,1
32,52.55353165,50.32410049,1,72.04356384,69.75901794,1,54.94135666,68.93305969,1,72.33694458,51.99465179,1
33,52.55353165,50.32410049,1,72.04356384,69.88446808,1,54.82249069,68.82012939,1,72.24846649,51.97145462,1
34,51.96863937,49.76186752,1,71.76971436,69.88446808,1,54.82249069,68.73605347,1,72.18429565,51.96451187,1
35,51.92499924,49.73425293,1,71.70746613,69.88446808,1,54.5680809,68.73605347,1,72.08563232,51.99465179,1
36,51.68095779,49.73425293,1,71.52294159,69.84198761,1,54.28633118,68.64167786,1,71.93365479,52.1423645,1
37,51.42526245,49.73425293,1,71.5150528,69.83243561,1,54.28633118,68.63626099,1,71.93365479,52.1423645,1
38,51.42526245,49.76221848,1,71.49543762,69.69390869,1,54.28633118,68.64167786,1,71.93365479,52.14341736,1
39,51.42526245,49.76221848,1,71.49543762,69.63250732,1,54.28633118,68.64167786,1,71.99529266,52.14341736,1
